windowDuration,timeSinceLastSensorEvent,prevDominantSensor1,prevDominantSensor2,lastSensorLocation,lastMotionLocation,complexity,activityChange,areaTransitions,numDistinctSensors,sensorCount-Bathroom,sensorCount-Bedroom,sensorCount-Chair,sensorCount-DiningRoom,sensorCount-Hall,sensorCount-Ignore,sensorCount-Kitchen,sensorCount-LivingRoom,sensorCount-Office,sensorCount-OutsideDoor,sensorCount-WorkArea,sensorElTime-Bathroom,sensorElTime-Bedroom,sensorElTime-Chair,sensorElTime-DiningRoom,sensorElTime-Hall,sensorElTime-Ignore,sensorElTime-Kitchen,sensorElTime-LivingRoom,sensorElTime-Office,sensorElTime-OutsideDoor,sensorElTime-WorkArea,activity
46.0,1.0,6.0,5.0,0.0,0.0,1.781937063546704,0.3043478260869565,4.0,0.0,10.59,0.0,2.41,0.0,0.0,6.870000000000001,0.0,14.480000000000002,0.0,0.0,0.0,0.0,23208.870084,36.905442,86400.0,86400.0,14.369193,723.960626,30.0013,86400.0,11400.014419,675.111752,1
70.0,1.0,5.0,7.0,6.0,6.0,0.9709505944546686,0.4428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.000000000000002,20.35,0.0,0.0,0.0,0.0,380.013879,2455.24319,220.503645,86400.0,86400.0,2.275116,0.0,204.262287,86400.0,10346.05764,185.542904,2
1197.0,109.0,5.0,7.0,5.0,7.0,1.3382689280764646,0.0116959064327485,2.0,0.0,0.0,0.0,4.9,0.0,0.0,20.13,0.0,9.320000000000002,0.0,0.0,0.0,3751.180058,7901.577042,1187.171485,86400.0,86400.0,0.0,1352.968149,1176.157987,86400.0,5813.995737,1337.955546,0
670.0,4.0,0.0,7.0,5.0,10.0,1.9547541343536357,0.1074626865671641,5.0,0.0,8.800000000000002,0.0,2.2300000000000004,0.0,0.0,5.550000000000001,0.0,15.720000000000002,0.0,0.0,2.05,659.9858,7006.330248,593.393774,86400.0,86400.0,0.0,9606.813318,583.610484,86400.0,1254.545118,574.914203,0
158.0,1.0,5.0,5.0,0.0,0.0,1.781937063546704,0.170886075949367,3.0,0.0,10.45,0.0,2.3800000000000003,0.0,0.0,7.200000000000001,0.0,14.32,0.0,0.0,0.0,0.0,25504.081443,134.65924,86400.0,86400.0,122.98982,15174.968454,126.779429,86400.0,6663.210886,15157.640622,1
510.0,1.0,0.0,7.0,0.0,0.0,1.868273412406135,0.4764705882352941,1.0,0.0,9.36,14.460000000000004,0.0,0.0,0.0,5.760000000000001,0.0,4.7700000000000005,0.0,0.0,0.0,0.0,310.52713,808.089287,86400.0,86400.0,31.656024,858.273246,31.629552,86400.0,2888.660423,836.130153,1
67.0,0.0,6.0,6.0,6.0,6.0,0.9871377743721864,0.3134328358208955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.93,19.420000000000005,0.0,0.0,0.0,0.0,774.688576,1184.038539,605.254815,86400.0,86400.0,0.023639,0.0,588.293686,86400.0,611.855082,575.78957,2
71.0,0.0,7.0,0.0,7.0,7.0,0.6998428398862386,0.3661971830985915,2.0,0.0,0.0,0.0,2.0700000000000003,0.0,0.0,2.04,0.0,30.24,0.0,0.0,0.0,260.731928,9532.497413,0.182434,86400.0,86400.0,0.027271,10196.127286,0.0,86400.0,105.25433,4438.418277,0
2990.0,7.0,0.0,0.0,5.0,7.0,0.5665095065529053,0.3956521739130434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.25,0.0,5.1000000000000005,0.0,0.0,0.0,3031.549143,17088.048097,2993.19692,86400.0,86400.0,0.0,3470.726845,2986.277019,86400.0,3377.759847,3427.030986,0
46.0,1.0,6.0,6.0,6.0,6.0,0.9709505944546686,0.6304347826086957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.69,20.660000000000004,0.0,0.0,0.0,0.0,844.749866,2351.834588,612.262048,86400.0,86400.0,0.024951,0.0,593.437261,86400.0,626.431937,560.556697,2
